Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Mexico,59.91,59.29,58.85,59.19,59.73,60.58,61.3,61.37,61.05,60.94,60.72,60.75,61.43,61.24,60.64,60.76,60.67,60.48,60.7,61.42,56.45
Mauritania,50.46,49.95,49.45,48.95,48.47,48.01,47.55,47.16,46.78,46.43,46.08,45.74,45.42,45.39,45.36,45.33,45.3,45.26,45.36,45.37,44.56
Mauritius,58.98,58.9,58.8,58.64,58.42,58.88,58.63,57.74,57.7,57.63,58.33,57.48,57.67,58.69,58.99,59.33,58.65,58.9,58.24,57.88,56.33
Malawi,77.9,77.82,77.7,77.57,77.46,77.4,77.41,77.44,77.48,77.52,77.56,77.61,77.64,77.65,77.46,77.28,77.05,76.83,76.62,76.35,75.24
Malaysia,61.71,61.63,61.46,61.32,61.19,61.14,60.95,60.79,60.22,60.46,60.37,61.58,62.6,64.06,64.29,64.46,64.32,64.4,64.78,64.73,64.19
Nicaragua,61.74,61.89,62.04,62.21,62.37,62.52,62.69,63.13,63.57,64,64.42,64.85,65.28,65.7,66.09,66.28,66.46,66.61,66.64,66.66,64.84
Netherlands,62.84,63.47,64.09,64.08,64.27,62.92,63.11,64.15,64.93,65.07,64.43,64.13,64.59,64.5,64.01,64.07,63.71,63.58,63.84,64.25,63.85
Norway,66.93,66.89,67.09,65.81,65.72,65.43,65.69,66.4,67.42,66.44,65.69,65.2,65.3,65,64.72,64.89,64.37,63.6,63.93,64.07,63.73
New Zealand,64.7,65.36,66.07,65.8,66.37,67.17,67.73,67.98,67.86,67.48,67.21,67.52,67.33,67.57,68.4,68.34,69.33,70.09,70.01,69.6,69.53
Pakistan,51.07,50.88,50.8,51.25,51.72,51.3,50.85,50.81,50.77,51.2,51.55,51.53,51.87,52.21,52.07,53.03,52.83,52.63,52.44,52.51,50.24
Panama,62.94,63.24,63.54,63.82,64.27,64.55,63.67,64.21,65.77,64.72,63.52,62.3,64.19,65.08,64.66,64.89,65.38,64.92,66.63,67.3,62.61
Peru,67.4,70.57,72.47,73.16,74.93,72.66,75.59,77.9,77.95,78.38,79.08,78.58,78.4,77.8,76.97,75.82,75.44,77.08,77.56,77.86,65.17
Philippines,62.51,62.39,62.19,61.62,61.71,61.89,61.98,61.92,61.88,62.26,62.19,62.9,62.43,62.15,62.81,62.21,62.23,59.67,59.58,60.03,57.03
Poland,56.28,56.61,55.57,54.97,54.55,55.08,54.2,54.03,54.59,55.25,55.92,56.06,56.36,56.43,56.79,56.62,56.8,57.06,57.01,56.89,56.58
Portugal,60.79,61.43,61.98,61.97,61.57,61.99,62.2,62.29,62.06,61.26,61.06,60.38,60.02,59.2,58.77,58.62,58.52,59.02,59.19,59.27,57.93
Paraguay,69.66,69.68,69.68,68.57,71.95,70.88,68.59,69.76,69.8,71.11,69.02,69.29,72.4,71.34,69.6,69.64,70.38,70.57,72.02,72.66,70.25
Romania,64.36,62.96,57.31,55.52,55.07,53.46,54.43,54.19,53.9,53.73,54.94,54.13,54.61,54.48,54.78,54.45,53.72,55,55.05,55.13,55.04
Singapore,66.01,66.12,65.32,65.32,65.25,65.64,66.38,67.15,68.23,68.26,68.83,69.12,69.81,69.85,70.62,71.38,71.09,70.98,70.63,70.51,69.64
Sierra Leone,64.1,64.24,63.9,63.8,65.29,64.51,63.72,62.95,62.19,61.43,60.69,59.94,59.21,58.48,57.75,58.19,58.1,58.05,58,57.89,57.1
El Salvador,61.43,60.9,60.34,61.79,60.46,60.91,61.36,61.86,61.74,61.6,59.93,59.77,60.43,60.8,59.57,58.84,59.52,59.19,58.93,59.12,52.43
Slovenia,57.38,57.53,57.99,56.47,58.98,59.21,59.29,59.77,59.49,59.43,59.24,58.07,57.74,57.46,57.73,57.41,56.73,58.52,58.87,57.99,57.38
Sweden,62.37,62.6,62.49,62.53,62.34,62.87,63.29,63.63,63.79,63.29,63.13,63.4,63.46,63.89,63.98,64,64.07,64.32,64.39,64.43,64.22
Thailand,73.18,72.54,72.42,72.34,72.42,72.53,72.11,72.7,72.78,72.86,71.71,73.24,72.77,70.69,69.68,69.05,68.07,67.29,67.59,66.74,66.07
Tajikistan,45.13,45.12,45.1,45.1,45.51,44.91,44.36,43.74,43.13,43.12,43.03,42.89,42.73,42.53,42.33,42.11,41.85,41.09,40.37,39.68,38.93
Turkmenistan,62,61.81,61.88,61.72,61.47,60.72,60.17,59.66,59.03,58.95,58.77,58.42,58.33,58.32,58.31,58.34,58.29,58.17,58.02,57.86,56.56
Trinidad and Tobago,61.23,61.24,61.34,62.49,63.61,64.69,64.62,64.38,64.29,63.51,62.46,61.57,62.3,62.36,62.65,61.9,61.28,60.9,60.53,60.14,56.93
Tunisia,47.1,46.68,46.26,45.85,45.47,45.12,45.58,45.71,45.93,46.35,46.7,46.98,47.65,47.19,47.13,47.09,46.96,46.8,46.6,46.44,45.91
Turkey,48.8,48.6,48.27,46.94,45.96,46.03,45.06,45.08,45.79,46.64,47.7,48.78,48.73,49.63,50.11,50.97,51.72,52.54,52.92,52.75,50.38
Uganda,70.27,70.33,70.39,70.46,70.53,70.59,70.68,70.75,70.83,70.9,70.98,71.06,71.15,71.06,70.94,70.81,70.65,70.49,70.27,70.04,66.88
Ukraine,56.98,55.98,55.75,55.52,55.26,55.12,54.99,54.91,54.89,54.96,55.03,55.29,55,55.66,54.44,54.76,54.56,54.52,54.35,54.16,52.49
Uruguay,62.24,63.73,62.6,62.25,62.18,62.47,63.66,64.93,65.49,65.77,65.48,65.86,65.39,64.88,65.39,64.97,64.68,64.21,63.9,63.9,60.95
United States,66.42,66.05,65.7,65.3,65.02,65.04,65.15,64.97,64.97,64.31,63.57,63,63.05,62.5,62.2,62.01,62.16,62.29,62.31,62.57,61.41
Vietnam,76.66,76.6,76.55,76.47,76.36,76.25,76.16,76.05,76,75.98,76.29,76.52,76.75,77.74,77.9,77.95,77.51,77.62,77.69,77.37,75.63
South Africa,55.36,55.26,55.16,55.12,55.11,55.16,55.21,55.33,55.55,53.94,52.48,52.54,53.04,53.73,54.05,55.38,55.52,56.18,55.99,56.08,51.49
Zambia,79.25,79.36,79.47,79.54,79.59,79.62,79.08,78.51,77.92,77.31,76.67,76.05,75.42,75.37,75.28,75.16,75.03,74.86,74.66,74.5,74.2
