Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Netherlands,15.15447847,12.05874241,5.403792763,3.534331981,21.29134764,30.63656066,51.20483983,86.58908577,20.62558999,11.04179359,13.67345153,36.73002673,28.56699931,37.48073486,13.20199376,42.15266881,30.48936204,26.83311087,-39.56529421,3.934634893
Nicaragua,5.217991628,2.821639385,3.902980206,3.782089333,4.313640892,3.814067387,4.240494762,5.141871084,7.382607164,5.228542428,5.593334702,9.579151709,7.365138487,8.78723319,9.063641897,7.580326424,7.44463174,7.510567,6.430607372,3.988512251
Pakistan,0.375528498,0.475564993,1.033727741,0.581949477,1.037493764,1.833321933,3.112977982,3.668322816,3.197360002,1.390402267,1.141304858,0.6208231,0.382826517,0.576510795,0.772218504,0.618355973,0.924441818,0.81952343,0.55218666,0.802956184
Paraguay,1.217294369,1.167634889,1.256207971,-0.750191695,0.976461922,0.067986029,1.398421223,0.588028727,1.372475712,0.120385937,2.039608007,1.37454295,2.183849195,0.808683596,1.361360578,1.326845901,1.365388325,1.909421983,0.818799599,1.57289966
Philippines,1.777214472,0.962987332,2.098276387,0.565262899,0.623144589,1.549060317,2.120919981,1.871212824,0.740319312,1.172202715,0.513698459,0.856962271,1.227630152,1.316426849,1.929377227,1.84017849,2.598510005,3.122386545,2.868336627,2.301175741
Spain,6.786943902,4.608644236,5.579816518,3.395380889,2.367945802,2.341811379,2.614682312,4.634754727,4.558669541,0.642832486,2.576812313,1.814479687,1.573683796,3.496806342,2.405672897,1.927595965,3.591770214,2.410862324,3.896176969,1.063038048
Switzerland,8.247850476,3.39976006,2.662377694,5.431850099,1.751355267,0.633680379,12.11368683,9.865169051,0.524445848,8.537904259,2.928360211,2.875814967,5.771266415,-3.497233456,2.859911358,16.91269259,24.01199939,20.26412145,-19.97575153,5.101109775
Turkey,0.357998325,1.661452748,0.450358175,0.541017472,0.68113553,1.981203897,3.623501717,3.235842052,2.576505522,1.322248993,1.171053624,1.929270214,1.560831354,1.416082735,1.420412446,2.228697034,1.590791306,1.285453788,1.647273701,1.216923697
United Kingdom,9.898142047,3.422981484,5.042495844,1.755858581,3.609369643,9.97527479,7.525326097,6.772950829,8.675680939,0.603016501,2.689196585,1.015535639,1.728938272,1.957177906,1.92105822,1.545748732,12.06028079,4.708340371,2.840389193,0.079011756
United States,3.405318336,1.630116343,1.015460357,1.022023979,1.749187307,1.091876415,2.160487842,2.398397384,2.318328109,1.114843565,1.761193112,1.695323307,1.545625032,1.716613576,1.436946698,2.80417574,2.53073398,1.877886665,1.268599671,1.640588409
Uruguay,1.15156664,1.485267576,1.321811334,3.343265008,2.577117366,4.760890859,7.703738639,5.803943915,7.053791438,5.061736217,5.438987612,5.608751839,12.47273167,1.715468265,7.137512567,5.017505866,-0.908893168,4.109797613,2.747957941,2.132816801
Venezuela,,,,,,,,,,,,,,,,,,,,
Cambodia,3.237754226,3.676756427,3.056850915,1.751316579,2.461977045,6.025383905,6.64242251,10.03894968,7.874681055,8.925272448,12.49138118,11.99484384,14.14572541,13.58334609,11.09689482,10.09866353,12.36922143,12.57184973,13.07449807,13.52202109
Costa Rica,4.818464498,3.892336175,4.36202694,4.483539703,5.823126533,7.628435395,7.928504331,8.337426092,7.909007193,5.251511066,5.063711991,6.391724891,5.70866168,6.291276937,6.232936611,5.236394871,4.452962387,4.740783864,4.433876867,3.91717993
